,S_AE,S_An,S_En,S_AF,S_EF,S_nF,S_A,S_E,S_n,S_F,V_tot
69,1.3180628134314564e-12,8.470032851851575e-13,1.3534738578808866e-12,8.144675833934466e-13,1.4041820064242079e-12,1.1736459408229356e-12,1.048190931735377e-12,1.3424738797015842e-12,8.363681342623647e-13,9.014907005177917e-14,1.801799231106295e-12
70,1.5776274629076572e-12,1.0139100904310294e-12,1.622638627176122e-12,9.890913166103458e-13,1.6895905575432092e-12,1.406891636026818e-12,1.2543473496994744e-12,1.6031756480651494e-12,9.823822070972013e-13,1.1866937431393161e-13,2.1873492203102247e-12
71,1.858148189061148e-12,1.1943296054502313e-12,1.9154892793161504e-12,1.1838518366172144e-12,2.0029792853328894e-12,1.661398171595377e-12,1.4767729917011515e-12,1.883908098811847e-12,1.1330240047451873e-12,1.5494869982088745e-13,2.6210555905450877e-12
72,2.1506324390150886e-12,1.3826565899110216e-12,2.2238481727921538e-12,1.3952821802248388e-12,2.3369577138166305e-12,1.9308086453686028e-12,1.7081053980301322e-12,2.1753968419909623e-12,1.2808110772961547e-12,2.0059461675121912e-13,3.0981161155153955e-12
73,2.4420194453390515e-12,1.570853939079766e-12,2.5356678364262022e-12,1.6176685521015072e-12,2.6802828303828665e-12,2.2058001897669586e-12,1.9376997020781705e-12,2.4643175505473124e-12,1.4159844881904575e-12,2.5733957032526707e-13,3.609763105847878e-12
74,2.7150278480505053e-12,1.7484495319442358e-12,2.834877223366963e-12,1.842871745852189e-12,3.0176561002613185e-12,2.474061902805733e-12,2.1515208133985287e-12,2.733177984471402e-12,1.5267857977318895e-12,3.2695217262937426e-13,4.142880067777408e-12
75,2.948552925464059e-12,1.9029007429567287e-12,3.1017394079986395e-12,2.0604303041021406e-12,3.330019025091045e-12,2.720706043913828e-12,2.3324876869826245e-12,2.9607537828389984e-12,1.6001831420040428e-12,4.110966239013529e-13,4.6800628348573265e-12
76,3.1188349149068617e-12,2.0204514657986816e-12,3.3139208035025163e-12,2.258071400443904e-12,3.595551790223672e-12,2.929256361630071e-12,2.46144958855732e-12,3.1232940985077367e-12,1.6231524715701875e-12,5.11130092672249e-13,5.200325452744556e-12
77,3.2015825428861272e-12,2.0875680139605156e-12,3.4484328555621596e-12,2.4227362507115216e-12,3.79154419454508e-12,3.083309826538586e-12,2.518942382600222e-12,3.19667376461064e-12,1.5845563533316228e-12,6.278327630705649e-13,5.680621763272749e-12
78,3.1751248995373434e-12,2.0929523420730337e-12,3.4845001643780135e-12,2.542165406410276e-12,3.897204474501892e-12,3.168862703199347e-12,2.4877802616166457e-12,3.159556862190768e-12,1.4775437804557787e-12,7.610749292018563e-13,6.098261202355674e-12
79,3.0244607295371844e-12,2.029985711826634e-12,3.407218530926937e-12,2.6069743258388276e-12,3.897282585979427e-12,3.1771205368608717e-12,2.356369232244602e-12,2.997433900005646e-12,1.3022171228188645e-12,9.094410866396021e-13,6.434126372941387e-12
80,2.7457761283369248e-12,1.899260683774559e-12,3.211595255091545e-12,2.6129813062615924e-12,3.786110477970482e-12,3.1073843233288667e-12,2.122382761067097e-12,2.707101185701566e-12,1.068093205988116e-12,1.0698525179330606e-12,6.676351885515629e-12
81,2.350643596629336e-12,1.71064735419104e-12,2.906247741671183e-12,2.563349668358345e-12,3.5713362318866585e-12,2.9693619138693766e-12,1.7961460182562585e-12,2.300800359213654e-12,7.956707877424839e-13,1.2372554507817545e-12,6.8238306147582495e-12
82,1.8687811774738782e-12,1.4841768942084126e-12,2.5157553482706645e-12,2.4699252771984282e-12,3.276330896023548e-12,2.7840720460936968e-12,1.4028030107774515e-12,1.808910590132901e-12,5.162872603125989e-13,1.4044664870101297e-12,6.888648195240902e-12
83,1.3480762149521376e-12,1.2490061688609898e-12,2.080537936322494e-12,2.353070640417627e-12,2.940103000287503e-12,2.582497937907571e-12,9.822036144091228e-13,1.2799183028295675e-12,2.695100902484334e-13,1.562282021239366e-12,6.8964237125323125e-12
84,8.507306664306721e-13,1.03995157463571e-12,1.6533175294867475e-12,2.2394143296410072e-12,2.6137178884848788e-12,2.401422768266657e-12,5.855825914841214e-13,7.765412111483038e-13,9.76659264648989e-14,1.6999521815830784e-12,6.8836875555340006e-12
85,4.450036272295776e-13,8.916078540746194e-13,1.2918169648836093e-12,2.157323520898387e-12,2.352809843524315e-12,2.2765070174026884e-12,2.686243589400051e-13,3.67490670775499e-13,3.7806803155688774e-14,1.8060806182136227e-12,6.891957942243738e-12
86,1.931366199808928e-13,8.308571117557801e-13,1.0483575567076617e-12,2.130565609146356e-12,2.206806278309482e-12,2.2335963528421974e-12,8.143322645502103e-14,1.1544381691879877e-13,1.1236860538167973e-13,1.8699324751361646e-12,6.95908247355332e-12
87,1.374675900337508e-13,8.694335979945025e-13,9.582441189561816e-13,2.1714214886243413e-12,2.2067744932558612e-12,2.2802544959811873e-12,5.710528242833519e-14,6.319118638094109e-14,3.207416194416333e-13,1.8830192706328836e-12,7.109513679488323e-12
88,2.8804633239697424e-13,9.988056276115523e-13,1.0298705542420147e-12,2.2751765671882057e-12,2.3549506698463346e-12,2.400207431235913e-12,2.0166941098645532e-13,2.2121689409632308e-13,6.345446131777837e-13,1.8407040164708813e-12,7.346121654323524e-12
89,6.156670398132948e-13,1.1895830511606002e-12,1.2398255931085934e-12,2.4180964350086127e-12,2.619474340373894e-12,2.5533148933620866e-12,4.886395903863708e-13,5.605832182722613e-13,9.991399499210294e-13,1.7434734613145113e-12,7.646440310097853e-12
